Symbol,Final Weighted Rating,DCF/P,PEG,Dividend Payout Ratio,P/FV,Unweighted Rating
SHW,1.687,1.004,2.835,0.008,12.798,5.0
CLGX,1.686,1.039,43.639,-0.005,3.456,5.0
QSR,1.685,1.081,11.964,0.051,7.055,5.0
HPP,1.685,1.012,190.221,0.029,1.6,5.0
AVY,1.68,1.03,6.483,0.017,9.096,5.0
EBAY,1.673,1.038,5.567,0.016,10.324,5.0
AHH,1.673,1.074,122.13,0.065,2.328,5.0
RUTH,1.672,1.027,11.171,0.023,7.198,5.0
KNSL,1.666,1.046,22.124,0.003,5.416,5.0
AWR,1.665,1.0,21.286,0.014,5.178,5.0
SABR,1.659,1.259,31.511,0.025,6.492,5.0
TTEC,1.647,1.051,34.788,0.014,4.802,5.0
YORW,1.646,1.0,38.413,0.016,4.254,5.0
MPX,1.645,1.07,20.644,0.04,6.473,5.0
WST,1.643,1.041,16.363,0.004,7.029,5.0
CVGW,1.636,1.008,24.147,0.011,5.704,5.0
SJI,1.634,1.003,194.051,0.037,2.01,5.0
DCI,1.629,1.037,17.34,0.015,7.294,5.0
AWI,1.625,1.011,5.609,0.008,12.585,5.0
TTC,1.624,1.014,11.08,0.012,8.994,5.0
VFC,1.622,1.023,16.567,0.024,7.555,5.0
MSFT,1.616,1.01,11.198,0.015,9.274,5.0
BAH,1.611,1.029,8.44,0.015,11.246,5.0
ORCL,1.606,1.11,17.096,0.015,9.155,5.0
FAST,1.603,1.01,19.315,0.025,7.518,5.0
LMT,1.599,1.015,0.97,0.024,34.596,5.0
RMD,1.599,1.007,18.305,0.013,7.881,5.0
EVTC,1.596,1.068,18.7,0.006,8.665,5.0
CLB,1.593,1.025,10.648,0.05,10.946,5.0
ADP,1.589,1.034,8.153,0.019,12.899,5.0
BR,1.588,1.025,8.131,0.015,12.836,5.0
GRA,1.586,1.11,14.008,0.016,11.218,5.0
PAYX,1.585,1.031,10.993,0.028,11.284,5.0
TFSL,1.582,1.066,194.897,0.01,2.858,5.0
FSP,1.568,1.016,1164.543,0.042,1.169,5.0
BLMN,1.567,1.113,13.573,0.017,12.543,5.0
EL,1.559,1.05,10.758,0.01,13.346,5.0
XLNX,1.557,1.08,17.56,0.012,11.068,5.0
CNS,1.555,1.05,9.545,0.053,14.487,5.0
BWXT,1.552,1.019,9.684,0.012,13.921,5.0
CLCT,1.552,1.135,27.01,0.034,9.924,5.0
BRKR,1.55,1.117,34.38,0.003,8.657,5.0
GNL,1.538,1.228,3918.278,0.088,1.014,5.0
POOL,1.535,1.004,5.33,0.01,20.006,5.0
KO,1.528,1.035,17.124,0.03,12.109,5.0
JHX,1.526,1.026,74.414,0.031,5.782,5.0
CDW,1.523,1.011,5.959,0.009,20.259,5.0
AMH,1.517,1.005,1171.911,0.008,1.479,5.0
WDFC,1.512,1.01,9.396,0.013,17.065,5.0
CHCT,1.51,1.003,443.983,0.036,2.48,5.0
INTU,1.504,1.035,9.472,0.007,18.323,5.0
CVA,1.473,1.032,165.175,0.069,5.097,5.0
CLX,1.468,1.005,3.598,0.026,34.004,5.0
HLNE,1.465,1.037,45.839,0.017,10.157,5.0
ELS,1.459,1.003,40.331,0.016,10.591,5.0
SEAS,1.444,1.036,46.994,0.0,11.12,5.0
NKE,1.437,1.033,27.524,0.01,15.011,5.0
AMT,1.436,1.015,17.567,0.017,18.336,5.0
DEA,1.433,1.007,2656.33,0.052,1.494,5.0
NTAP,1.428,1.223,48.777,0.024,15.652,5.0
COLD,1.427,1.038,520.458,0.02,3.654,5.0
CROX,1.418,1.084,27.456,0.001,17.831,5.0
